iata,type,name_en,iana timezone
UDJ,city,Uzhgorod,Europe/Uzhgorod
MMV,city,Mal,Europe/Tirane
MMV,airport,Mal,Europe/Tirane
TIA,airport,Rinas Mother Teresa,Europe/Tirane
TIA,city,Tirana,Europe/Tirane
KDL,airport,Kardla,Europe/Tallinn
KDL,city,Kardla,Europe/Tallinn
QUF,airport,Pirita Harbour,Europe/Tallinn
TAY,city,Tartu,Europe/Tallinn
TAY,airport,Tartu,Europe/Tallinn
TLL,city,Tallinn,Europe/Tallinn
TLL,airport,Ulemiste,Europe/Tallinn
URE,airport,Kuressaare,Europe/Tallinn
URE,city,Kuressaare,Europe/Tallinn
AGH,airport,Angelholm,Europe/Stockholm
AGH,city,Angelholm,Europe/Stockholm
AJR,airport,Arvidsjaur,Europe/Stockholm
AJR,city,Arvidsjaur,Europe/Stockholm
ARN,airport,Arlanda,Europe/Stockholm
BLE,city,Borlange,Europe/Stockholm
BLE,airport,Dala Airport,Europe/Stockholm
BMA,airport,Bromma,Europe/Stockholm
EKT,city,Eskilstuna,Europe/Stockholm
EKT,airport,Eskilstuna,Europe/Stockholm
EVG,airport,Sveg,Europe/Stockholm
EVG,city,Sveg,Europe/Stockholm
GEV,city,Gallivare,Europe/Stockholm
GEV,airport,Gallivare,Europe/Stockholm
GOT,city,Gothenburg,Europe/Stockholm
GOT,airport,Landvetter,Europe/Stockholm
GSE,airport,Gothenburg City Airport,Europe/Stockholm
GVX,airport,Sandviken,Europe/Stockholm
GVX,city,Gavle,Europe/Stockholm
HAD,airport,Halmstad,Europe/Stockholm
HAD,city,Halmstad,Europe/Stockholm
HFS,airport,Hagfors,Europe/Stockholm
HFS,city,Hagfors,Europe/Stockholm
HLF,city,Hultsfred,Europe/Stockholm
HLF,airport,Hultsfred - Vimmerby,Europe/Stockholm
HMV,city,Hemavan,Europe/Stockholm
HMV,airport,Hemavan,Europe/Stockholm
HUV,city,Hudiksvall,Europe/Stockholm
HUV,airport,Hudiksvall,Europe/Stockholm
IDB,city,Idre,Europe/Stockholm
IDB,airport,Idre,Europe/Stockholm
JHE,airport,Heliport,Europe/Stockholm
JKG,city,Jonkoping,Europe/Stockholm
JKG,airport,Axamo,Europe/Stockholm
JMM,airport,Malmo Harbour Heliport,Europe/Stockholm
KID,airport,Kristianstad,Europe/Stockholm
KID,city,Kristianstad,Europe/Stockholm
KLR,city,Kalmar,Europe/Stockholm
KLR,airport,Kalmar,Europe/Stockholm
KRF,airport,Kramfors,Europe/Stockholm
KRF,city,Kramfors,Europe/Stockholm
KRN,city,Kiruna,Europe/Stockholm
KRN,airport,Kiruna,Europe/Stockholm
KSD,airport,Karlstad,Europe/Stockholm
KSD,city,Karlstad,Europe/Stockholm
KSK,city,Karlskoga,Europe/Stockholm
KSK,airport,Karlskoga,Europe/Stockholm
KVB,city,Skovde,Europe/Stockholm
KVB,airport,Skovde,Europe/Stockholm
LDK,airport,Hovby,Europe/Stockholm
LDK,city,Lidkoping,Europe/Stockholm
LLA,airport,Kallax,Europe/Stockholm
LLA,city,Lulea,Europe/Stockholm
LPI,city,Linkoping,Europe/Stockholm
LPI,airport,Linkoping,Europe/Stockholm
LYC,airport,Lycksele,Europe/Stockholm
LYC,city,Lycksele,Europe/Stockholm
MJF,city,Mosjoen,Europe/Stockholm
MJF,airport,Kjaerstad,Europe/Stockholm
MMA,city,Malmo,Europe/Stockholm
MMX,airport,Sturup,Europe/Stockholm
MXX,city,Mora,Europe/Stockholm
MXX,airport,Mora,Europe/Stockholm
NRK,city,Norrkoping,Europe/Stockholm
NRK,airport,Kungsangen,Europe/Stockholm
NYO,airport,Skavsta,Europe/Stockholm
OER,airport,Ornskoldsvik,Europe/Stockholm
OER,city,Ornskoldsvik,Europe/Stockholm
ORB,airport,Orebro-bofors,Europe/Stockholm
ORB,city,Orebro,Europe/Stockholm
OSD,airport,íƒre í_stersund Airport,Europe/Stockholm
OSD,city,Ostersund,Europe/Stockholm
OSK,airport,Oskarshamn,Europe/Stockholm
OSK,city,Oskarshamn,Europe/Stockholm
RLG,city,Rostock-laage,Europe/Stockholm
RLG,airport,Laage,Europe/Stockholm
RNB,city,Ronneby,Europe/Stockholm
RNB,airport,Kallinge,Europe/Stockholm
RVK,airport,Ryumsjoen,Europe/Stockholm
RVK,city,Roervik,Europe/Stockholm
SDL,city,Sundsvall,Europe/Stockholm
SDL,airport,Sundsvall/harnosand,Europe/Stockholm
SFT,airport,Skelleftea,Europe/Stockholm
SFT,city,Skelleftea,Europe/Stockholm
SMP,city,Stockholm,Europe/Stockholm
SMP,airport,Stockholm,Europe/Stockholm
SOO,city,Soderhamn,Europe/Stockholm
SOO,airport,Soderhamn,Europe/Stockholm
SQO,airport,Gunnarn,Europe/Stockholm
SQO,city,Storuman,Europe/Stockholm
STO,city,Stockholm,Europe/Stockholm
THN,airport,Trollhattan,Europe/Stockholm
THN,city,Trollhattan,Europe/Stockholm
TYF,city,Torsby,Europe/Stockholm
TYF,airport,Torsby Airport,Europe/Stockholm
UME,airport,Umea,Europe/Stockholm
UME,city,Umea,Europe/Stockholm
VBY,airport,Visby,Europe/Stockholm
VBY,city,Visby,Europe/Stockholm
VHM,city,Vilhelmina,Europe/Stockholm
VHM,airport,Vilhelmina,Europe/Stockholm
VST,airport,Vasteras/Hasslo,Europe/Stockholm
VVK,city,Vastervik,Europe/Stockholm
VVK,airport,Vastervik,Europe/Stockholm
VXO,city,Ví_xjí_,Europe/Stockholm
VXO,airport,Smaland Airport,Europe/Stockholm
XWK,airport,Karlskrona RailwaySvc.,Europe/Stockholm
XYB,airport,Borlange Railway,Europe/Stockholm
XYH,airport,Helsingborg Railway,Europe/Stockholm
XYQ,airport,Angelholm Railway,Europe/Stockholm
BOJ,airport,Bourgas,Europe/Sofia
BOJ,city,Bourgas,Europe/Sofia
GOZ,city,Gorna Oriahovitsa,Europe/Sofia
GOZ,airport,Gorna Oriahovitsa,Europe/Sofia
HKV,city,Haskovo,Europe/Sofia
HKV,airport,Haskovo,Europe/Sofia
KDG,city,Kardjali,Europe/Sofia
KDG,airport,Kardjali,Europe/Sofia
LZA,city,Luiza,Europe/Sofia
LZA,airport,Luiza,Europe/Sofia
PDV,airport,Plovdiv,Europe/Sofia
PDV,city,Plovdiv,Europe/Sofia
PVN,city,Pleven,Europe/Sofia
PVN,airport,Pleven,Europe/Sofia
ROU,city,Rousse,Europe/Sofia
ROU,airport,Rousse,Europe/Sofia
SLS,city,Silistra,Europe/Sofia
SLS,airport,Silistra,Europe/Sofia
SOF,airport,Sofia,Europe/Sofia
SOF,city,Sofia,Europe/Sofia
SZR,city,Stara Zagora,Europe/Sofia
SZR,airport,Stara Zagora,Europe/Sofia
TGV,city,Targovishte,Europe/Sofia
TGV,airport,Targovishte,Europe/Sofia
VAR,city,Varna,Europe/Sofia
VAR,airport,Varna,Europe/Sofia
VID,city,Vidin,Europe/Sofia
VID,airport,Vidin,Europe/Sofia
OHD,airport,Ohrid,Europe/Skopje
OHD,city,Ohrid,Europe/Skopje
SKP,airport,Alexander The Great Airport,Europe/Skopje
SKP,city,Skopje,Europe/Skopje
HMJ,city,Khmelnitskiy,Europe/Simferopol
HMJ,airport,Khmelnitskiy,Europe/Simferopol
KHC,city,Kerch,Europe/Simferopol
KHC,airport,Kerch,Europe/Simferopol
KHE,city,Kherson,Europe/Simferopol
KHE,airport,Kherson,Europe/Simferopol
MPW,city,Mariupol,Europe/Simferopol
MPW,airport,Mariupol,Europe/Simferopol
ODS,airport,Odessa International,Europe/Simferopol
ODS,city,Odessa,Europe/Simferopol
SIP,airport,Simferopol,Europe/Simferopol
SIP,city,Simferopol,Europe/Simferopol
BNX,airport,Banja Luka,Europe/Sarajevo
BNX,city,Banja Luka,Europe/Sarajevo
OMO,city,Mostar,Europe/Sarajevo
OMO,airport,Mostar,Europe/Sarajevo
SJJ,airport,Sarajevo,Europe/Sarajevo
SJJ,city,Sarajevo,Europe/Sarajevo
TZL,city,Tuzla,Europe/Sarajevo
TZL,airport,Tuzla International,Europe/Sarajevo
CKC,city,Cherkassy,Europe/Samara
CKC,airport,Cherkassy,Europe/Samara
IAA,airport,Igarka,Europe/Samara
IAA,city,Igarka,Europe/Samara
IJK,airport,Izhevsk,Europe/Samara
IJK,city,Izhevsk,Europe/Samara
KUF,airport,Kurumoch,Europe/Samara
KUF,city,Samara,Europe/Samara
RWN,city,Rovno,Europe/Samara
RWN,airport,Rovno,Europe/Samara
AHO,city,Alghero,Europe/Rome
AHO,airport,Fertilia,Europe/Rome
ALL,city,Albenga,Europe/Rome
ALL,airport,Albenga,Europe/Rome
AOI,city,Ancona,Europe/Rome
AOI,airport,Falconara,Europe/Rome
AOT,city,Aosta,Europe/Rome
AOT,airport,Corrado Gex,Europe/Rome
AVB,city,Aviano,Europe/Rome
AVB,airport,Aviano,Europe/Rome
BDS,airport,Papola Casale,Europe/Rome
BDS,city,Brindisi,Europe/Rome
BGY,airport,Orio al Serio,Europe/Rome
BGY,city,Bergamo,Europe/Rome
BLQ,city,Bologna,Europe/Rome
BLQ,airport,Guglielmo Marconi,Europe/Rome
BLX,city,Belluno,Europe/Rome
BLX,airport,Belluno,Europe/Rome
BRI,city,Bari,Europe/Rome
BRI,airport,Palese,Europe/Rome
BZO,airport,Bolzano,Europe/Rome
BZO,city,Bolzano,Europe/Rome
CAG,airport,Elmas,Europe/Rome
CAG,city,Cagliari,Europe/Rome
CIA,airport,Ciampino,Europe/Rome
CIY,city,Comiso,Europe/Rome
CIY,airport,Comiso,Europe/Rome
CRV,airport,Crotone,Europe/Rome
CRV,city,Crotone,Europe/Rome
CTA,airport,Fontanarossa,Europe/Rome
CTA,city,Catania,Europe/Rome
CUF,city,Cuneo,Europe/Rome
CUF,airport,Levaldigi,Europe/Rome
DCI,city,Decimomannu,Europe/Rome
DCI,airport,Rafsu Decimomannu,Europe/Rome
FCO,airport,Leonardo Da Vinci (Fiumicino),Europe/Rome
FLR,airport,Peretola,Europe/Rome
FLR,city,Florence,Europe/Rome
FOG,city,Foggia,Europe/Rome
FOG,airport,Gino Lisa,Europe/Rome
FRL,city,Forli,Europe/Rome
FRL,airport,Luigi Ridolfi,Europe/Rome
GOA,airport,Cristoforo Colombo,Europe/Rome
GOA,city,Genova,Europe/Rome
GRS,airport,Baccarini,Europe/Rome
GRS,city,Grosseto,Europe/Rome
ISH,city,Ischia,Europe/Rome
ISH,airport,Ischia,Europe/Rome
JLO,city,Jesolo,Europe/Rome
JLO,airport,Jesolo,Europe/Rome
LCC,city,Lecce,Europe/Rome
LCC,airport,Galatina,Europe/Rome
LCV,city,Lucca,Europe/Rome
LCV,airport,Lucca,Europe/Rome
LIN,airport,Linate,Europe/Rome
LIN,airport,Linate,Europe/Rome
LIN,airport,Linate,Europe/Rome
LMP,city,Lampedusa,Europe/Rome
LMP,airport,Lampedusa,Europe/Rome
MIL,city,Milan,Europe/Rome
MXP,airport,Malpensa,Europe/Rome
MXP,airport,Malpensa,Europe/Rome
MXP,airport,Malpensa,Europe/Rome
NAP,city,Napoli,Europe/Rome
NAP,airport,Capodichino,Europe/Rome
OLB,airport,Costa Smeralda,Europe/Rome
OLB,city,Olbia,Europe/Rome
PEG,city,Perugia,Europe/Rome
PEG,airport,Sant Egidio,Europe/Rome
PMO,city,Palermo,Europe/Rome
PMO,airport,Punta Raisi,Europe/Rome
PNL,airport,Pantelleria,Europe/Rome
PNL,city,Pantelleria,Europe/Rome
PRJ,city,Capri,Europe/Rome
PRJ,airport,Capri,Europe/Rome
PSA,airport,Galileo Galilei,Europe/Rome
PSA,city,Pisa,Europe/Rome
PSR,airport,Liberi,Europe/Rome
PSR,city,Pescara,Europe/Rome
QMM,city,Marina Di Massa,Europe/Rome
QMM,airport,Marina Di Massa,Europe/Rome
RAN,city,Ravenna,Europe/Rome
RAN,airport,La Spreta,Europe/Rome
REG,airport,Tito Menniti,Europe/Rome
REG,city,Reggio Calabria,Europe/Rome
RME,airport,Griffiss AFB,Europe/Rome
RMI,city,Rimini,Europe/Rome
RMI,airport,Miramare,Europe/Rome
ROM,city,Rome,Europe/Rome
RRO,city,Naples,Europe/Rome
RRO,airport,Sorrento,Europe/Rome
SAY,city,Siena,Europe/Rome
SAY,airport,Siena,Europe/Rome
SUF,city,Lamezia Terme,Europe/Rome
SUF,airport,Lamezia Terme,Europe/Rome
SWK,airport,Segrate,Europe/Rome
SWK,airport,Segrate,Europe/Rome
SWK,airport,Segrate,Europe/Rome
TAR,city,Taranto,Europe/Rome
TAR,airport,M. A. Grottag,Europe/Rome
TPS,airport,Birgi,Europe/Rome
TPS,city,Trapani,Europe/Rome
TRN,city,Turin,Europe/Rome
TRN,airport,Sandro Pertini (caselle),Europe/Rome
TRS,airport,Ronchi Dei Legionari,Europe/Rome
TRS,city,Trieste,Europe/Rome
TSF,city,Treviso,Europe/Rome
TSF,airport,S. Angelo,Europe/Rome
TTB,airport,Arbatax,Europe/Rome
TTB,city,Tortoli,Europe/Rome
UDN,city,Udine,Europe/Rome
UDN,airport,Airfield,Europe/Rome
VCE,airport,Marco Polo,Europe/Rome
VCE,city,Venice,Europe/Rome
VIC,city,Vicenza,Europe/Rome
VIC,airport,Trissino,Europe/Rome
VIF,city,Vieste,Europe/Rome
VIF,airport,Vieste,Europe/Rome
VRN,airport,Valerio Catullo,Europe/Rome
VRN,city,Verona,Europe/Rome
XIK,airport,Central Station,Europe/Rome
XIX,airport,Porta Nuova Railway,Europe/Rome
XRJ,airport,Termini Railway.,Europe/Rome
XVY,airport,Mestre Railway.,Europe/Rome
ZMS,airport,S.M. Novella Rail.Svc,Europe/Rome
DGP,city,Daugavpils,Europe/Riga
DGP,airport,Daugavpils,Europe/Riga
LPX,city,Liepaja,Europe/Riga
LPX,airport,Liepaja,Europe/Riga
RIX,airport,Riga International,Europe/Riga
RIX,city,Riga,Europe/Riga
RUU,city,Ruti,Europe/Riga
RUU,airport,Ruti,Europe/Riga
BRQ,city,Brno,Europe/Prague
BRQ,airport,Turany,Europe/Prague
GTW,city,Zlin,Europe/Prague
GTW,airport,Holesov,Europe/Prague
KLV,airport,Karlovy Vary,Europe/Prague
KLV,city,Karlovy Vary,Europe/Prague
MKA,city,Marianske Lazne,Europe/Prague
MKA,airport,Marianske Lazne,Europe/Prague
OLO,city,Olomouc,Europe/Prague
OLO,airport,Olomouc,Europe/Prague
OSR,airport,Mosnov,Europe/Prague
OSR,city,Ostrava,Europe/Prague
PRG,airport,Prague - Ruzyne International,Europe/Prague
PRG,city,Prague,Europe/Prague
PRV,city,Prerov,Europe/Prague
PRV,airport,Prerov,Europe/Prague
UHE,city,Uherske Hradiste,Europe/Prague
UHE,airport,Kunovice,Europe/Prague
IVG,city,Berane,Europe/Podgorica
IVG,airport,Ivangrad,Europe/Podgorica
TGD,airport,Golubovci,Europe/Podgorica
TGD,city,Podgorica,Europe/Podgorica
TIV,airport,Tivat,Europe/Podgorica
TIV,city,Tivat,Europe/Podgorica
AGF,city,Agen,Europe/Paris
AGF,airport,La Garenne,Europe/Paris
AHZ,city,Alpe D Huez,Europe/Paris
AHZ,airport,Alpe D Huez,Europe/Paris
AJA,airport,Campo Dell Oro,Europe/Paris
AJA,city,Ajaccio,Europe/Paris
ANE,city,Angers,Europe/Paris
ANE,airport,Marce,Europe/Paris
ANG,city,Angouleme,Europe/Paris
ANG,airport,Brie-Champniers,Europe/Paris
AUF,city,Auxerre,Europe/Paris
AUF,airport,Auxerre Branches,Europe/Paris
AUR,city,Aurillac,Europe/Paris
AUR,airport,Aurillac,Europe/Paris
AVF,city,Avoriaz,Europe/Paris
AVF,airport,Avoriaz,Europe/Paris
AVN,city,Avignon,Europe/Paris
AVN,airport,Avignon-Caumont,Europe/Paris
BAE,city,Barcelonnette,Europe/Paris
BAE,airport,Barcelonnette,Europe/Paris
BES,airport,Brest Lesquin,Europe/Paris
BES,city,Brest,Europe/Paris
BIA,airport,Poretta,Europe/Paris
BIA,city,Bastia,Europe/Paris
BIQ,airport,Biarritz Parme,Europe/Paris
BIQ,city,Biarritz,Europe/Paris
BOD,airport,Mí©rignac,Europe/Paris
BOD,city,Bordeaux,Europe/Paris
BOR,city,Belfort,Europe/Paris
BOR,airport,Fontaine,Europe/Paris
BOU,city,Bourges,Europe/Paris
BOU,airport,Bourges,Europe/Paris
BSL,city,Basel,Europe/Paris
BSL,airport,Euroairport Swiss,Europe/Paris
BVA,airport,Beauvais-Tille,Europe/Paris
BVE,city,Brive-La-Gaillarde,Europe/Paris
BVE,airport,Laroche,Europe/Paris
BZR,city,Beziers,Europe/Paris
BZR,airport,Beziers Vias,Europe/Paris
CCE,airport,Grand Case,Europe/Paris
CCF,airport,Salvaza,Europe/Paris
CCF,city,Carcassonne,Europe/Paris
CDG,airport,Charles De Gaulle,Europe/Paris
CEQ,city,Cannes,Europe/Paris
CEQ,airport,Mandelieu,Europe/Paris
CER,city,Cherbourg,Europe/Paris
CER,airport,Maupertus,Europe/Paris
CET,city,Cholet,Europe/Paris
CET,airport,Le Pontreau,Europe/Paris
CFE,city,Clermont-Ferrand,Europe/Paris
CFE,airport,Clermont/Ferrand Auvergne International (Aulnat),Europe/Paris
CFR,city,Caen,Europe/Paris
CFR,airport,Carpiquet,Europe/Paris
CHR,city,Chateauroux,Europe/Paris
CHR,airport,Chateauroux,Europe/Paris
CLY,airport,Ste Catherine,Europe/Paris
CLY,city,Calvi,Europe/Paris
CMF,city,Chambery,Europe/Paris
CMF,airport,Chambery,Europe/Paris
CMR,city,Colmar,Europe/Paris
CMR,airport,Colmar-houssen,Europe/Paris
CNG,city,Cognac,Europe/Paris
CNG,airport,Parvaud,Europe/Paris
CQF,city,Calais,Europe/Paris
CQF,airport,Calais,Europe/Paris
CSF,city,Creil,Europe/Paris
CSF,airport,Creil,Europe/Paris
CTT,city,Le Castellet,Europe/Paris
CTT,airport,Le Castellet,Europe/Paris
CVF,city,Courchevel,Europe/Paris
CVF,airport,Courchevel,Europe/Paris
DCM,city,Castres,Europe/Paris
DCM,airport,Mazamet,Europe/Paris
DIJ,city,Dijon,Europe/Paris
DIJ,airport,Dijon,Europe/Paris
DLE,city,Dole,Europe/Paris
DLE,airport,Tavaux,Europe/Paris
DNR,city,Dinard,Europe/Paris
DNR,airport,Pleurtuit,Europe/Paris
DOL,city,Deauville,Europe/Paris
DOL,airport,St Gatien,Europe/Paris
DPE,city,Dieppe,Europe/Paris
DPE,airport,Dieppe,Europe/Paris
DXA,city,Deux Alpes,Europe/Paris
DXA,airport,Deux Alpes,Europe/Paris
EAP,city,Mulhouse,Europe/Paris
EAP,airport,Euroairport Basel-Mulhouse-Freiburg,Europe/Paris
EBU,city,St Etienne,Europe/Paris
EBU,airport,Boutheon,Europe/Paris
EDM,airport,Les Ajoncs,Europe/Paris
EDM,city,La Roche,Europe/Paris
EGC,airport,Roumanieres,Europe/Paris
EGC,city,Bergerac,Europe/Paris
ENC,city,Nancy,Europe/Paris
ENC,airport,Essey,Europe/Paris
EPL,airport,Mirecourt,Europe/Paris
EPL,city,Epinal,Europe/Paris
ETZ,airport,Metz-nancy-lorraine,Europe/Paris
ETZ,city,Metz,Europe/Paris
EVX,city,Evreux,Europe/Paris
EVX,airport,Evreux,Europe/Paris
FNI,city,Nimes,Europe/Paris
FNI,airport,Garons,Europe/Paris
FRJ,city,Frejus,Europe/Paris
FRJ,airport,Frejus,Europe/Paris
FSC,city,Figari,Europe/Paris
FSC,airport,Sud Corse,Europe/Paris
GAT,city,Gap,Europe/Paris
GAT,airport,Tallard,Europe/Paris
GFR,city,Granville,Europe/Paris
GFR,airport,Granville,Europe/Paris
HZB,city,Hazebrouck,Europe/Paris
HZB,airport,Merville/Calonne,Europe/Paris
JCA,airport,Croisette Heliport,Europe/Paris
JLP,city,Juan Les Pins,Europe/Paris
JLP,airport,Juan Les Pins,Europe/Paris
LAI,city,Lannion,Europe/Paris
LAI,airport,Servel,Europe/Paris
LBG,airport,Le Bourget,Europe/Paris
LBI,airport,Le Sequestre,Europe/Paris
LBI,city,Albi,Europe/Paris
LBY,city,La Baule-Escoublac,Europe/Paris
LBY,airport,Montoir,Europe/Paris
LDE,city,Lourdes,Europe/Paris
LDE,airport,Tarbes Ossun Lourdes,Europe/Paris
LDV,city,Landivisiau,Europe/Paris
LDV,airport,Landivisiau,Europe/Paris
LEH,airport,Octeville,Europe/Paris
LEH,city,Le Havre,Europe/Paris
LIG,city,Limoges,Europe/Paris
LIG,airport,Bellegarde,Europe/Paris
LIL,city,Lille,Europe/Paris
LIL,airport,Lesquin,Europe/Paris
LME,city,Le Mans,Europe/Paris
LME,airport,Arnage,Europe/Paris
LPY,city,Le Puy,Europe/Paris
LPY,airport,Loudes,Europe/Paris
LRH,city,La Rochelle,Europe/Paris
LRH,airport,Laleu,Europe/Paris
LRT,city,Lorient,Europe/Paris
LRT,airport,Lann Bihoue,Europe/Paris
LSO,city,Les Sables,Europe/Paris
LSO,airport,Talmont,Europe/Paris
LTQ,city,Le Touquet,Europe/Paris
LTQ,airport,Le Touquet,Europe/Paris
LTT,city,Saint Tropez,Europe/Paris
LTT,airport,La Mole,Europe/Paris
LVA,airport,Entrammes,Europe/Paris
LVA,city,Laval,Europe/Paris
LYN,airport,Bron,Europe/Paris
LYS,airport,St-Exupí©ry,Europe/Paris
LYS,city,Lyon,Europe/Paris
MCU,city,Montlucon,Europe/Paris
MCU,airport,Gueret (Lepaud),Europe/Paris
MEN,city,Mende,Europe/Paris
MEN,airport,Brenoux,Europe/Paris
MFX,city,Meribel,Europe/Paris
MFX,airport,Meribel,Europe/Paris
MLH,airport,Euroairport France,Europe/Paris
MPL,city,Montpellier,Europe/Paris
MPL,airport,Montpellier Mí©diterraní©e,Europe/Paris
MRS,city,Marseille,Europe/Paris
MRS,airport,Marseille Provence Airport,Europe/Paris
MSB,airport,Marigot SPB,Europe/Paris
MVV,city,Megeve,Europe/Paris
MVV,airport,Megeve,Europe/Paris
MXN,city,Morlaix,Europe/Paris
MXN,airport,Morlaix,Europe/Paris
MZM,airport,Frescaty,Europe/Paris
NCE,city,Nice,Europe/Paris
NCE,airport,Cote D'azur International Airport,Europe/Paris
NCY,city,Annecy,Europe/Paris
NCY,airport,Annecy-Meythe,Europe/Paris
NIT,city,Niort,Europe/Paris
NIT,airport,Niort,Europe/Paris
NTE,city,Nantes,Europe/Paris
NTE,airport,Nantes Atlantique,Europe/Paris
NVS,city,Nevers,Europe/Paris
NVS,airport,Nevers,Europe/Paris
OBS,city,Aubenas,Europe/Paris
OBS,airport,Vals-Lanas,Europe/Paris
ORE,city,Orleans,Europe/Paris
ORE,airport,Orleans,Europe/Paris
ORY,airport,Orly,Europe/Paris
PAR,city,Paris,Europe/Paris
PGF,city,Perpignan,Europe/Paris
PGF,airport,Llabanere,Europe/Paris
PGX,city,Perigueux,Europe/Paris
PGX,airport,Bassillac,Europe/Paris
PIS,city,Poitiers,Europe/Paris
PIS,airport,Biard,Europe/Paris
PLG,city,La Plagne,Europe/Paris
PLG,airport,La Plagne,Europe/Paris
POC,city,La Verne,Europe/Paris
POC,airport,Brackett Field,Europe/Paris
POX,airport,Paris Cergy Pontoise,Europe/Paris
PRP,city,Propriano,Europe/Paris
PRP,airport,Propriano,Europe/Paris
PUF,city,Pau,Europe/Paris
PUF,airport,Pau-Pyrí©ní©es,Europe/Paris
QYW,airport,Vieux Port,Europe/Paris
RCO,city,Rochefort,Europe/Paris
RCO,airport,Saint Agnant,Europe/Paris
RDZ,airport,Marcillac,Europe/Paris
RDZ,city,Rodez,Europe/Paris
RHE,city,Reims,Europe/Paris
RHE,airport,Reims,Europe/Paris
RNE,city,Roanne,Europe/Paris
RNE,airport,Renaison,Europe/Paris
RNS,city,Rennes,Europe/Paris
RNS,airport,St Jacques,Europe/Paris
RYN,airport,Medis,Europe/Paris
RYN,city,Royan,Europe/Paris
SBK,city,Tremuson,Europe/Paris
SBK,airport,Saint Brieuc-Armor,Europe/Paris
SCP,city,St Crepin,Europe/Paris
SCP,airport,St Crepin,Europe/Paris
SEC,city,Serre Chevalier,Europe/Paris
SEC,airport,Serre Chevalier,Europe/Paris
SFG,city,St Martin,Europe/Paris
SFG,airport,Esperance,Europe/Paris
SNR,city,St Nazaire,Europe/Paris
SNR,airport,Montoir,Europe/Paris
SOZ,city,Solenzara,Europe/Paris
SOZ,airport,Solenzara,Europe/Paris
SXB,airport,Entzheim,Europe/Paris
SXB,city,Strasbourg,Europe/Paris
SXD,city,Sophia Antipolis,Europe/Paris
SXD,airport,Sophia Antipolis,Europe/Paris
SYT,city,Saint Yan,Europe/Paris
SYT,airport,Charolais Bourgogne S.,Europe/Paris
TGF,city,Tignes,Europe/Paris
TGF,airport,Tignes,Europe/Paris
TLN,city,Hyeres,Europe/Paris
TLN,airport,Le Palyvestre,Europe/Paris
TLS,airport,Blagnac,Europe/Paris
TLS,city,Toulouse,Europe/Paris
TUF,city,Tours,Europe/Paris
TUF,airport,St Symphorien,Europe/Paris
UIP,city,Quimper,Europe/Paris
UIP,airport,Pluguffan,Europe/Paris
URO,city,Rouen,Europe/Paris
URO,airport,Boos,Europe/Paris
VAF,city,Valence,Europe/Paris
VAF,airport,Chabeuil,Europe/Paris
VHY,city,Vichy,Europe/Paris
VHY,airport,Charmeil,Europe/Paris
VIY,airport,Villa Coublay,Europe/Paris
VNE,city,Vannes,Europe/Paris
VNE,airport,Meucon,Europe/Paris
VTL,city,Vittel,Europe/Paris
VTL,airport,Vittel,Europe/Paris
XDB,airport,Lille-Europe Railway Station,Europe/Paris
XER,airport,Strasbourg Bus Service,Europe/Paris
XEX,airport,Aerogare,Europe/Paris
XFA,airport,Lille Flanders RailwaySv,Europe/Paris
XGB,airport,Gare Montparnasse,Europe/Paris
XPJ,airport,Montpellier Railway,Europe/Paris
XPZ,airport,Harbour,Europe/Paris
XRF,airport,Marseille Railway,Europe/Paris
XTT,airport,Etoile,Europe/Paris
XYD,airport,Lyon Part-Dieu,Europe/Paris
XYL,airport,Lyon Perrache RailwaySvc,Europe/Paris
XYT,airport,Montaudran,Europe/Paris
XYV,airport,Lyon Satolas RailwaySvc,Europe/Paris
XZN,airport,Avignon Railway,Europe/Paris
YBX,airport,Blanc Sablon,Europe/Paris
YBX,city,Blanc Sablon,Europe/Paris
YFG,city,Fontanges,Europe/Paris
YFG,airport,Fontanges,Europe/Paris
YJN,city,St Jean,Europe/Paris
YJN,airport,St Jean,Europe/Paris
ZDH,airport,Basel SBB station,Europe/Paris
ZFJ,airport,Rennes,Europe/Paris
ZFQ,airport,Gare de Bordeaux,Europe/Paris
ZYN,airport,Railway,Europe/Paris
AES,airport,Vigra,Europe/Oslo
AES,city,Aalesund,Europe/Oslo
ALF,airport,Alta,Europe/Oslo
ALF,city,Alta,Europe/Oslo
ANX,airport,"AndíŸya Lufthavn, Andenes",Europe/Oslo
ANX,city,Andenes,Europe/Oslo
BDU,city,Bardufoss,Europe/Oslo
BDU,airport,Bardufoss,Europe/Oslo
BGO,airport,"Bergen Airport, Flesland",Europe/Oslo
BGO,city,Bergen,Europe/Oslo
BJF,airport,Batsfjord,Europe/Oslo
BJF,city,Batsfjord,Europe/Oslo
BNN,airport,Bronnoy,Europe/Oslo
BNN,city,Bronnoysund,Europe/Oslo
BOO,city,Bodo,Europe/Oslo
BOO,airport,Bodo,Europe/Oslo
BVG,airport,Berlevag,Europe/Oslo
BVG,city,Berlevag,Europe/Oslo
DLD,city,Geilo,Europe/Oslo
DLD,airport,Dagali Airport,Europe/Oslo
EVE,airport,Evenes,Europe/Oslo
EVE,city,Harstad-Narvik,Europe/Oslo
FAN,city,Farsund,Europe/Oslo
FAN,airport,Lista,Europe/Oslo
FRO,airport,Flora,Europe/Oslo
FRO,city,Floro,Europe/Oslo
